run,id,frames,window_s,fps,build_avg_ms,build_p50_ms,build_p90_ms,build_p99_ms,raster_avg_ms,raster_p50_ms,raster_p90_ms,raster_p99_ms,span_p50_ms,span_p99_ms,jank_pct,headroom,vsync_budget_ms,dpr,logical_w,logical_h,physical_mpx,ns_per_px,notes
0,survey.ripples,344,2.84,120.9,0.849,0.701,1.144,3.200,1.986,1.865,2.367,5.055,3.204,8.712,0.0,0.716,8.33,2.00,480,640,1.229,1517.74,"defaults; wrap"
0,survey.taplets,355,2.92,121.4,0.838,0.721,1.198,2.773,1.980,1.862,2.478,4.635,3.178,7.513,0.0,0.703,8.33,2.00,480,640,1.229,1515.30,"defaults; wrap [inactive-interaction]"
0,survey.burn,348,2.84,122.0,0.901,0.694,1.302,5.020,2.039,1.871,2.509,5.101,3.225,11.501,0.6,0.699,8.33,2.00,480,640,1.229,1522.62,"defaults; wrap [progress ping-pong]"
0,survey.burn_radial,357,2.93,121.3,0.894,0.694,1.374,3.215,2.057,1.906,2.549,4.443,3.235,8.651,0.3,0.694,8.33,2.00,480,640,1.229,1551.11,"defaults; wrap [progress ping-pong]"
0,survey.burn_tap,357,2.98,119.5,0.979,0.765,1.378,3.939,2.346,1.992,3.214,7.622,3.535,13.480,1.4,0.614,8.33,2.00,480,640,1.229,1621.09,"defaults; wrap [inactive-interaction]"
0,survey.smoke,355,2.96,119.7,1.060,0.763,1.770,5.378,2.239,1.925,3.168,7.296,3.409,13.950,2.3,0.620,8.33,2.00,480,640,1.229,1566.57,"defaults; wrap [progress ping-pong]"
0,survey.smoke_radial,344,2.83,121.3,1.137,0.912,1.627,4.228,2.541,2.310,3.154,7.076,4.094,12.189,0.9,0.622,8.33,2.00,480,640,1.229,1879.88,"defaults; wrap [progress ping-pong]"
0,survey.smoke_tap,346,2.85,121.1,1.065,0.798,1.661,5.697,2.264,1.969,3.137,6.077,3.552,14.331,1.7,0.624,8.33,2.00,480,640,1.229,1602.38,"defaults; wrap [inactive-interaction]"
0,survey.pixel_dissolve,357,2.96,120.2,0.960,0.753,1.548,3.468,2.164,1.937,2.863,6.290,3.399,12.047,0.8,0.656,8.33,2.00,480,640,1.229,1576.33,"defaults; wrap [progress ping-pong]"
0,survey.pixel_dissolve_radial,347,2.84,121.8,0.957,0.746,1.475,4.422,2.154,1.950,2.748,6.468,3.323,11.482,0.3,0.670,8.33,2.00,480,640,1.229,1586.91,"defaults; wrap [progress ping-pong]"
0,survey.pixel_dissolve_tap,343,2.85,120.0,1.001,0.752,1.508,4.684,2.221,1.961,3.210,6.096,3.385,17.573,2.3,0.615,8.33,2.00,480,640,1.229,1595.87,"defaults; wrap [inactive-interaction]"
0,survey.slurp_tap,356,2.96,119.8,0.926,0.728,1.612,3.428,2.211,1.968,2.725,5.177,3.299,10.090,0.8,0.673,8.33,2.00,480,640,1.229,1601.56,"defaults; wrap [inactive-interaction]"
0,survey.fur,357,2.92,121.8,0.805,0.636,1.283,3.144,1.048,0.942,1.481,2.918,2.047,6.483,0.0,0.822,8.33,2.00,480,640,1.229,766.60,"defaults; fill [inactive-interaction]"
0,survey.fur_mask,340,2.81,120.7,0.683,0.575,0.981,2.769,1.641,1.578,2.113,4.521,2.750,7.804,0.0,0.746,8.33,2.00,480,640,1.229,1284.18,"defaults; wrap [inactive-interaction]"
